num[1]: 1:0, 2:0, 5:0, 10:5
num[2]: 1:0, 2:0, 5:2, 10:4
num[3]: 1:0, 2:0, 5:4, 10:3
num[4]: 1:0, 2:0, 5:6, 10:2
num[5]: 1:0, 2:0, 5:8, 10:1
num[6]: 1:0, 2:0, 5:10, 10:0
num[7]: 1:0, 2:5, 5:0, 10:4
num[8]: 1:0, 2:5, 5:2, 10:3
num[9]: 1:0, 2:5, 5:4, 10:2
num[10]: 1:0, 2:5, 5:6, 10:1
num[11]: 1:0, 2:5, 5:8, 10:0
num[12]: 1:0, 2:10, 5:0, 10:3
num[13]: 1:0, 2:10, 5:2, 10:2
num[14]: 1:0, 2:10, 5:4, 10:1
num[15]: 1:0, 2:10, 5:6, 10:0
num[16]: 1:0, 2:15, 5:0, 10:2
num[17]: 1:0, 2:15, 5:2, 10:1
num[18]: 1:0, 2:15, 5:4, 10:0
num[19]: 1:0, 2:20, 5:0, 10:1
num[20]: 1:0, 2:20, 5:2, 10:0
num[21]: 1:0, 2:25, 5:0, 10:0
num[22]: 1:1, 2:2, 5:1, 10:4
num[23]: 1:1, 2:2, 5:3, 10:3
num[24]: 1:1, 2:2, 5:5, 10:2
num[25]: 1:1, 2:2, 5:7, 10:1
num[26]: 1:1, 2:2, 5:9, 10:0
num[27]: 1:1, 2:7, 5:1, 10:3
num[28]: 1:1, 2:7, 5:3, 10:2
num[29]: 1:1, 2:7, 5:5, 10:1
num[30]: 1:1, 2:7, 5:7, 10:0
num[31]: 1:1, 2:12, 5:1, 10:2
num[32]: 1:1, 2:12, 5:3, 10:1
num[33]: 1:1, 2:12, 5:5, 10:0
num[34]: 1:1, 2:17, 5:1, 10:1
num[35]: 1:1, 2:17, 5:3, 10:0
num[36]: 1:1, 2:22, 5:1, 10:0
num[37]: 1:2, 2:4, 5:0, 10:4
num[38]: 1:2, 2:4, 5:2, 10:3
num[39]: 1:2, 2:4, 5:4, 10:2
num[40]: 1:2, 2:4, 5:6, 10:1
num[41]: 1:2, 2:4, 5:8, 10:0
num[42]: 1:2, 2:9, 5:0, 10:3
num[43]: 1:2, 2:9, 5:2, 10:2
num[44]: 1:2, 2:9, 5:4, 10:1
num[45]: 1:2, 2:9, 5:6, 10:0
num[46]: 1:2, 2:14, 5:0, 10:2
num[47]: 1:2, 2:14, 5:2, 10:1
num[48]: 1:2, 2:14, 5:4, 10:0
num[49]: 1:2, 2:19, 5:0, 10:1
num[50]: 1:2, 2:19, 5:2, 10:0
num[51]: 1:2, 2:24, 5:0, 10:0
num[52]: 1:3, 2:1, 5:1, 10:4
num[53]: 1:3, 2:1, 5:3, 10:3
num[54]: 1:3, 2:1, 5:5, 10:2
num[55]: 1:3, 2:1, 5:7, 10:1
num[56]: 1:3, 2:1, 5:9, 10:0
num[57]: 1:3, 2:6, 5:1, 10:3
num[58]: 1:3, 2:6, 5:3, 10:2
num[59]: 1:3, 2:6, 5:5, 10:1
num[60]: 1:3, 2:6, 5:7, 10:0
num[61]: 1:3, 2:11, 5:1, 10:2
num[62]: 1:3, 2:11, 5:3, 10:1
num[63]: 1:3, 2:11, 5:5, 10:0
num[64]: 1:3, 2:16, 5:1, 10:1
num[65]: 1:3, 2:16, 5:3, 10:0
num[66]: 1:3, 2:21, 5:1, 10:0
num[67]: 1:4, 2:3, 5:0, 10:4
num[68]: 1:4, 2:3, 5:2, 10:3
num[69]: 1:4, 2:3, 5:4, 10:2
num[70]: 1:4, 2:3, 5:6, 10:1
num[71]: 1:4, 2:3, 5:8, 10:0
num[72]: 1:4, 2:8, 5:0, 10:3
num[73]: 1:4, 2:8, 5:2, 10:2
num[74]: 1:4, 2:8, 5:4, 10:1
num[75]: 1:4, 2:8, 5:6, 10:0
num[76]: 1:4, 2:13, 5:0, 10:2
num[77]: 1:4, 2:13, 5:2, 10:1
num[78]: 1:4, 2:13, 5:4, 10:0
num[79]: 1:4, 2:18, 5:0, 10:1
num[80]: 1:4, 2:18, 5:2, 10:0
num[81]: 1:4, 2:23, 5:0, 10:0
num[82]: 1:5, 2:0, 5:1, 10:4
num[83]: 1:5, 2:0, 5:3, 10:3
num[84]: 1:5, 2:0, 5:5, 10:2
num[85]: 1:5, 2:0, 5:7, 10:1
num[86]: 1:5, 2:0, 5:9, 10:0
num[87]: 1:5, 2:5, 5:1, 10:3
num[88]: 1:5, 2:5, 5:3, 10:2
num[89]: 1:5, 2:5, 5:5, 10:1
num[90]: 1:5, 2:5, 5:7, 10:0
num[91]: 1:5, 2:10, 5:1, 10:2
num[92]: 1:5, 2:10, 5:3, 10:1
num[93]: 1:5, 2:10, 5:5, 10:0
num[94]: 1:5, 2:15, 5:1, 10:1
num[95]: 1:5, 2:15, 5:3, 10:0
num[96]: 1:5, 2:20, 5:1, 10:0
num[97]: 1:6, 2:2, 5:0, 10:4
num[98]: 1:6, 2:2, 5:2, 10:3
num[99]: 1:6, 2:2, 5:4, 10:2
num[100]: 1:6, 2:2, 5:6, 10:1
num[101]: 1:6, 2:2, 5:8, 10:0
num[102]: 1:6, 2:7, 5:0, 10:3
num[103]: 1:6, 2:7, 5:2, 10:2
num[104]: 1:6, 2:7, 5:4, 10:1
num[105]: 1:6, 2:7, 5:6, 10:0
num[106]: 1:6, 2:12, 5:0, 10:2
num[107]: 1:6, 2:12, 5:2, 10:1
num[108]: 1:6, 2:12, 5:4, 10:0
num[109]: 1:6, 2:17, 5:0, 10:1
num[110]: 1:6, 2:17, 5:2, 10:0
num[111]: 1:6, 2:22, 5:0, 10:0
num[112]: 1:7, 2:4, 5:1, 10:3
num[113]: 1:7, 2:4, 5:3, 10:2
num[114]: 1:7, 2:4, 5:5, 10:1
num[115]: 1:7, 2:4, 5:7, 10:0
num[116]: 1:7, 2:9, 5:1, 10:2
num[117]: 1:7, 2:9, 5:3, 10:1
num[118]: 1:7, 2:9, 5:5, 10:0
num[119]: 1:7, 2:14, 5:1, 10:1
num[120]: 1:7, 2:14, 5:3, 10:0
num[121]: 1:7, 2:19, 5:1, 10:0
num[122]: 1:8, 2:1, 5:0, 10:4
num[123]: 1:8, 2:1, 5:2, 10:3
num[124]: 1:8, 2:1, 5:4, 10:2
num[125]: 1:8, 2:1, 5:6, 10:1
num[126]: 1:8, 2:1, 5:8, 10:0
num[127]: 1:8, 2:6, 5:0, 10:3
num[128]: 1:8, 2:6, 5:2, 10:2
num[129]: 1:8, 2:6, 5:4, 10:1
num[130]: 1:8, 2:6, 5:6, 10:0
num[131]: 1:8, 2:11, 5:0, 10:2
num[132]: 1:8, 2:11, 5:2, 10:1
num[133]: 1:8, 2:11, 5:4, 10:0
num[134]: 1:8, 2:16, 5:0, 10:1
num[135]: 1:8, 2:16, 5:2, 10:0
num[136]: 1:8, 2:21, 5:0, 10:0
num[137]: 1:9, 2:3, 5:1, 10:3
num[138]: 1:9, 2:3, 5:3, 10:2
num[139]: 1:9, 2:3, 5:5, 10:1
num[140]: 1:9, 2:3, 5:7, 10:0
num[141]: 1:9, 2:8, 5:1, 10:2
num[142]: 1:9, 2:8, 5:3, 10:1
num[143]: 1:9, 2:8, 5:5, 10:0
num[144]: 1:9, 2:13, 5:1, 10:1
num[145]: 1:9, 2:13, 5:3, 10:0
num[146]: 1:9, 2:18, 5:1, 10:0
num[147]: 1:10, 2:0, 5:0, 10:4
num[148]: 1:10, 2:0, 5:2, 10:3
num[149]: 1:10, 2:0, 5:4, 10:2
num[150]: 1:10, 2:0, 5:6, 10:1
num[151]: 1:10, 2:0, 5:8, 10:0
num[152]: 1:10, 2:5, 5:0, 10:3
num[153]: 1:10, 2:5, 5:2, 10:2
num[154]: 1:10, 2:5, 5:4, 10:1
num[155]: 1:10, 2:5, 5:6, 10:0
num[156]: 1:10, 2:10, 5:0, 10:2
num[157]: 1:10, 2:10, 5:2, 10:1
num[158]: 1:10, 2:10, 5:4, 10:0
num[159]: 1:10, 2:15, 5:0, 10:1
num[160]: 1:10, 2:15, 5:2, 10:0
num[161]: 1:10, 2:20, 5:0, 10:0
num[162]: 1:11, 2:2, 5:1, 10:3
num[163]: 1:11, 2:2, 5:3, 10:2
num[164]: 1:11, 2:2, 5:5, 10:1
num[165]: 1:11, 2:2, 5:7, 10:0
num[166]: 1:11, 2:7, 5:1, 10:2
num[167]: 1:11, 2:7, 5:3, 10:1
num[168]: 1:11, 2:7, 5:5, 10:0
num[169]: 1:11, 2:12, 5:1, 10:1
num[170]: 1:11, 2:12, 5:3, 10:0
num[171]: 1:11, 2:17, 5:1, 10:0
num[172]: 1:12, 2:4, 5:0, 10:3
num[173]: 1:12, 2:4, 5:2, 10:2
num[174]: 1:12, 2:4, 5:4, 10:1
num[175]: 1:12, 2:4, 5:6, 10:0
num[176]: 1:12, 2:9, 5:0, 10:2
num[177]: 1:12, 2:9, 5:2, 10:1
num[178]: 1:12, 2:9, 5:4, 10:0
num[179]: 1:12, 2:14, 5:0, 10:1
num[180]: 1:12, 2:14, 5:2, 10:0
num[181]: 1:12, 2:19, 5:0, 10:0
num[182]: 1:13, 2:1, 5:1, 10:3
num[183]: 1:13, 2:1, 5:3, 10:2
num[184]: 1:13, 2:1, 5:5, 10:1
num[185]: 1:13, 2:1, 5:7, 10:0
num[186]: 1:13, 2:6, 5:1, 10:2
num[187]: 1:13, 2:6, 5:3, 10:1
num[188]: 1:13, 2:6, 5:5, 10:0
num[189]: 1:13, 2:11, 5:1, 10:1
num[190]: 1:13, 2:11, 5:3, 10:0
num[191]: 1:13, 2:16, 5:1, 10:0
num[192]: 1:14, 2:3, 5:0, 10:3
num[193]: 1:14, 2:3, 5:2, 10:2
num[194]: 1:14, 2:3, 5:4, 10:1
num[195]: 1:14, 2:3, 5:6, 10:0
num[196]: 1:14, 2:8, 5:0, 10:2
num[197]: 1:14, 2:8, 5:2, 10:1
num[198]: 1:14, 2:8, 5:4, 10:0
num[199]: 1:14, 2:13, 5:0, 10:1
num[200]: 1:14, 2:13, 5:2, 10:0
num[201]: 1:14, 2:18, 5:0, 10:0
num[202]: 1:15, 2:0, 5:1, 10:3
num[203]: 1:15, 2:0, 5:3, 10:2
num[204]: 1:15, 2:0, 5:5, 10:1
num[205]: 1:15, 2:0, 5:7, 10:0
num[206]: 1:15, 2:5, 5:1, 10:2
num[207]: 1:15, 2:5, 5:3, 10:1
num[208]: 1:15, 2:5, 5:5, 10:0
num[209]: 1:15, 2:10, 5:1, 10:1
num[210]: 1:15, 2:10, 5:3, 10:0
num[211]: 1:15, 2:15, 5:1, 10:0
num[212]: 1:16, 2:2, 5:0, 10:3
num[213]: 1:16, 2:2, 5:2, 10:2
num[214]: 1:16, 2:2, 5:4, 10:1
num[215]: 1:16, 2:2, 5:6, 10:0
num[216]: 1:16, 2:7, 5:0, 10:2
num[217]: 1:16, 2:7, 5:2, 10:1
